outcome,strategy,run_id,value,iqr_low_fence,iqr_high_fence,outside_1_5_iqr,within_group_standardized_residual,absolute_residual_at_least_3
normalized_target_score_pct,Skill-Specific DDA,R-20260719-090751-C6AEDFB5,62.63537906137184,60.94027691763311,94.442779122577,False,-1.2850349666239624,False
normalized_target_score_pct,Skill-Specific DDA,R-20260803-131118-25C444A0,83.04195804195804,60.94027691763311,94.442779122577,False,0.6566956496288331,False
normalized_target_score_pct,Skill-Specific DDA,R-20260803-203352-78E56646,80.2588996763754,60.94027691763311,94.442779122577,False,0.3918815599957146,False
normalized_target_score_pct,Skill-Specific DDA,R-20260803-204802-7FB9A22F,84.06779661016948,60.94027691763311,94.442779122577,False,0.7543064327553964,False
normalized_target_score_pct,Skill-Specific DDA,R-20260804-080250-4C74E07B,80.22508038585208,60.94027691763311,94.442779122577,False,0.38866358054450123,False
normalized_target_score_pct,Skill-Specific DDA,R-20260719-085111-17A32D03,72.67857142857143,60.94027691763311,94.442779122577,False,-0.3294032498692691,False
normalized_target_score_pct,Skill-Specific DDA,R-20260719-091012-4EAD5CB0,80.71672354948805,60.94027691763311,94.442779122577,False,0.4354445027172742,False
normalized_target_score_pct,Skill-Specific DDA,R-20260719-093012-4EB0A2D2,79.19463087248322,60.94027691763311,94.442779122577,False,0.2906140559027358,False
normalized_target_score_pct,Skill-Specific DDA,R-20260804-075716-FEF7CC7F,88.38951310861424,60.94027691763311,94.442779122577,False,1.1655272085541413,False
wall_contact_pct,Fixed Time-Based,R-20260719-085701-11428E75,1.1110158675733852,-4.925012279571823,10.796385495833803,False,-0.7847518293580703,False
wall_contact_pct,Fixed Time-Based,R-20260719-091426-075509FD,4.2453998247552285,-4.925012279571823,10.796385495833803,False,0.5013206226693332,False
wall_contact_pct,Fixed Time-Based,R-20260803-203819-9150C5FD,5.556322835358158,-4.925012279571823,10.796385495833803,False,1.0392068528493472,False
wall_contact_pct,Fixed Time-Based,R-20260803-205226-5A31D015,6.655047121067092,-4.925012279571823,10.796385495833803,False,1.490025596030455,False
wall_contact_pct,Fixed Time-Based,R-20260719-085745-B9C21BFE,0.830007904837189,-4.925012279571823,10.796385495833803,False,-0.900052508729943,False
wall_contact_pct,Fixed Time-Based,R-20260719-091622-92127A6F,0.793953191529896,-4.925012279571823,10.796385495833803,False,-0.9148461569184521,False
wall_contact_pct,Fixed Time-Based,R-20260804-072904-22984449,1.9734085108004114,-4.925012279571823,10.796385495833803,False,-0.4309025765426692,False
wall_contact_pct,Performance-Based DDA,R-20260719-073723-9A82FD86,1.3286283697872765,-1.2251214427211288,3.4061361802875947,False,0.034927039939076504,False
wall_contact_pct,Performance-Based DDA,R-20260719-084336-9AD97336,0.13095924072213308,-1.2251214427211288,3.4061361802875947,False,-0.7990195546295299,False
wall_contact_pct,Performance-Based DDA,R-20260719-090242-3BA5890E,0.05333333333333334,-1.2251214427211288,3.4061361802875947,False,-0.8530710948639503,False
wall_contact_pct,Performance-Based DDA,R-20260719-092039-C2ECB570,4.735962359933139,-1.2251214427211288,3.4061361802875947,True,2.40748095210178,False
wall_contact_pct,Performance-Based DDA,R-20260803-202931-74AE8E33,0.6200265725673958,-1.2251214427211288,3.4061361802875947,False,-0.45847805947930526,False
wall_contact_pct,Performance-Based DDA,R-20260803-204306-D213B70C,0.5043481573909151,-1.2251214427211288,3.4061361802875947,False,-0.5390258652633786,False
wall_contact_pct,Performance-Based DDA,R-20260804-075724-00D9EA4C,1.7830099722833386,-1.2251214427211288,3.4061361802875947,False,0.3513165842967874,False
wall_contact_pct,Performance-Based DDA,R-20260719-084347-6A9321AA,0.5986398445536633,-1.2251214427211288,3.4061361802875947,False,-0.47336980926494004,False
wall_contact_pct,Performance-Based DDA,R-20260719-092328-65D9D1AB,2.4964163424309818,-1.2251214427211288,3.4061361802875947,False,0.8480671462759279,False
wall_contact_pct,Performance-Based DDA,R-20260804-075051-71E20E02,0.5333561914558244,-1.2251214427211288,3.4061361802875947,False,-0.5188273391124676,False
wall_contact_pct,Skill-Specific DDA,R-20260719-074245-6E61F985,6.65828547482309,-3.0631288954399296,6.82023355592303,False,1.628556682074566,False
wall_contact_pct,Skill-Specific DDA,R-20260719-084917-0433BF01,0.04000190485261203,-3.0631288954399296,6.82023355592303,False,-0.8814771806542543,False
wall_contact_pct,Skill-Specific DDA,R-20260719-090751-C6AEDFB5,0.5533754952758305,-3.0631288954399296,6.82023355592303,False,-0.6867763820907528,False
wall_contact_pct,Skill-Specific DDA,R-20260803-131118-25C444A0,2.607279428922467,-3.0631288954399296,6.82023355592303,False,0.09218214540975173,False
wall_contact_pct,Skill-Specific DDA,R-20260803-203352-78E56646,0.7328885523665298,-3.0631288954399296,6.82023355592303,False,-0.6186947039130319,False
wall_contact_pct,Skill-Specific DDA,R-20260803-204802-7FB9A22F,3.620665844401373,-3.0631288954399296,6.82023355592303,False,0.4765165716985875,False
wall_contact_pct,Skill-Specific DDA,R-20260804-080250-4C74E07B,1.8983393102922754,-3.0631288954399296,6.82023355592303,False,-0.1766887310940644,False
wall_contact_pct,Skill-Specific DDA,R-20260719-085111-17A32D03,1.0930861704357104,-3.0631288954399296,6.82023355592303,False,-0.4820870458897087,False
wall_contact_pct,Skill-Specific DDA,R-20260719-091012-4EAD5CB0,0.8052380952380953,-3.0631288954399296,6.82023355592303,False,-0.5912555951712181,False
